C,Si,Mn,P,S,Cr,Ni,Cu,Mo,V,Sn,Al,Ti,Nb,CEQ,板坯装炉前温度,轧制道次数,精轧道次数,轧制厚度,粗轧开轧温度_测量平均,粗轧终止温度_测量平均,精轧开轧温度_测量平均,精轧终止温度_测量平均,抽出平均温度,TENSION_RM,YIELD_REH,EL
0.145,0.3,1.24,0.012,0.006,0.02,0.01,0.03,0.002,0.002,0.003,0.04,0.017,0.012,0.36,574,16,7,18.15,1162,1114,899,837,1193,518,407,28.5
0.145,0.3,1.24,0.012,0.006,0.02,0.01,0.03,0.002,0.002,0.003,0.04,0.017,0.012,0.36,559,14,7,17.9,1165,1114,878,818,1193,508,397,29.5
0.146,0.31,1.22,0.011,0.011,0.02,0.01,0.03,0.002,0.002,0.003,0.04,0.016,0.012,0.36,558,16,7,17.07,1163,1115,912,836,1195,508,406,28.5
0.146,0.31,1.22,0.011,0.011,0.02,0.01,0.03,0.002,0.002,0.003,0.04,0.016,0.012,0.36,560,16,7,16.87,1160,1112,914,839,1194,511,406,27.0
0.144,0.25,1.21,0.014,0.006,0.02,0.01,0.02,0.002,0.002,0.003,0.035,0.017,0.014,0.35,549,16,7,16.57,1168,1119,918,839,1193,506,388,28.0
0.151,0.26,1.25,0.014,0.007,0.02,0.01,0.03,0.002,0.002,0.003,0.037,0.018,0.014,0.37,562,16,7,16.27,1159,1111,912,829,1194,511,401,28.0
0.149,0.21,1.22,0.018,0.006,0.02,0.01,0.03,0.002,0.002,0.003,0.027,0.014,0.012,0.36,548,14,7,16.17,1164,1115,915,835,1190,521,415,29.0
0.151,0.26,1.25,0.014,0.007,0.02,0.01,0.03,0.002,0.002,0.003,0.037,0.018,0.014,0.37,557,16,7,16.17,1159,1105,847,792,1193,534,441,29.0
0.149,0.21,1.22,0.018,0.006,0.02,0.01,0.03,0.002,0.002,0.003,0.027,0.014,0.012,0.36,555,16,7,15.97,1158,1111,921,836,1192,510,404,28.5
0.156,0.26,1.23,0.014,0.007,0.02,0.01,0.02,0.002,0.002,0.003,0.036,0.018,0.014,0.37,543,16,7,15.97,1162,1113,918,835,1194,515,414,28.0
0.149,0.21,1.22,0.018,0.006,0.02,0.01,0.03,0.002,0.002,0.003,0.027,0.014,0.012,0.36,559,16,7,15.97,1161,1113,925,843,1193,515,394,28.5
0.143,0.25,1.23,0.014,0.004,0.02,0.01,0.02,0.002,0.002,0.002,0.037,0.019,0.013,0.35,580,14,7,19.1,1160,1108,878,810,1191,505,401,27.5
0.155,0.23,1.24,0.015,0.008,0.02,0.01,0.02,0.001,0.002,0.002,0.04,0.012,0.012,0.37,583,14,7,20.0,1170,1117,880,817,1209,516,410,28.0
0.155,0.23,1.24,0.015,0.008,0.02,0.01,0.02,0.001,0.002,0.002,0.04,0.012,0.012,0.37,577,14,7,25.2,1177,1122,862,807,1206,527,424,29.5
0.15,0.23,1.23,0.014,0.01,0.02,0.01,0.02,0.002,0.001,0.003,0.033,0.018,0.012,0.36,573,14,7,21.2,1162,1109,879,815,1198,533,445,29.5
0.15,0.23,1.23,0.014,0.01,0.02,0.01,0.02,0.002,0.001,0.003,0.033,0.018,0.012,0.36,572,14,7,20.6,1158,1105,870,809,1199,517,424,27.0
0.152,0.27,1.27,0.018,0.007,0.02,0.01,0.02,0.001,0.002,0.002,0.037,0.017,0.012,0.37,576,14,7,20.6,1171,1116,871,805,1213,523,411,28.5
0.152,0.23,1.27,0.015,0.009,0.02,0.01,0.03,0.002,0.002,0.003,0.033,0.018,0.011,0.37,71,14,7,27.05,1172,1121,880,826,1198,555,447,27.5
0.144,0.24,1.22,0.012,0.006,0.02,0.01,0.02,0.001,0.002,0.003,0.029,0.016,0.011,0.35,88,14,7,20.2,1153,1104,890,823,1188,515,405,27.2
0.155,0.23,1.23,0.01,0.005,0.02,0.01,0.02,0.002,0.002,0.004,0.033,0.016,0.014,0.37,509,16,7,12.0,1167,1120,878,818,1197,502,407,27.5
0.152,0.23,1.22,0.012,0.005,0.02,0.01,0.03,0.003,0.002,0.003,0.025,0.014,0.014,0.36,525,16,7,12.0,1170,1126,878,818,1204,514,383,29.0
0.151,0.25,1.24,0.013,0.006,0.02,0.01,0.02,0.002,0.002,0.004,0.029,0.017,0.013,0.37,471,16,7,13.05,1175,1120,937,812,1212,529,421,28.0
0.151,0.25,1.24,0.013,0.006,0.02,0.01,0.02,0.002,0.002,0.004,0.029,0.017,0.013,0.37,491,16,7,19.05,1175,1121,882,814,1212,502,422,28.5
0.15,0.22,1.22,0.011,0.008,0.02,0.01,0.03,0.004,0.002,0.004,0.025,0.016,0.012,0.36,70,16,9,38.06,1186,1136,883,838,1197,529,467,29.0
0.148,0.25,1.23,0.012,0.004,0.02,0.01,0.02,0.002,0.001,0.004,0.03,0.013,0.017,0.36,72,18,7,12.05,1180,1130,878,818,1213,521,386,28.0
0.147,0.24,1.24,0.018,0.007,0.02,0.01,0.02,0.002,0.003,0.003,0.034,0.014,0.013,0.37,384,14,7,14.11,1153,1100,905,798,1195,511,402,26.9
0.148,0.25,1.22,0.013,0.009,0.02,0.01,0.02,0.002,0.002,0.003,0.036,0.016,0.012,0.36,572,14,7,14.11,1166,1111,902,797,1208,512,402,26.8
0.148,0.25,1.22,0.013,0.009,0.02,0.01,0.02,0.002,0.002,0.003,0.036,0.016,0.012,0.36,573,14,7,14.11,1177,1120,900,792,1226,509,398,27.1
0.142,0.25,1.24,0.014,0.006,0.02,0.01,0.03,0.002,0.002,0.004,0.038,0.016,0.011,0.36,572,14,7,14.11,1160,1105,905,794,1194,491,387,27.0
0.148,0.25,1.22,0.013,0.009,0.02,0.01,0.02,0.002,0.002,0.003,0.036,0.016,0.012,0.36,580,14,7,14.11,1173,1117,901,791,1220,498,389,26.9
0.157,0.27,1.22,0.011,0.005,0.02,0.01,0.03,0.003,0.001,0.004,0.035,0.018,0.014,0.37,529,14,7,14.81,1164,1109,902,801,1210,525,406,27.1
0.147,0.24,1.23,0.015,0.007,0.02,0.01,0.03,0.002,0.002,0.003,0.038,0.016,0.011,0.36,542,14,7,14.81,1157,1105,928,814,1201,512,389,27.1
0.155,0.24,1.22,0.014,0.005,0.02,0.01,0.03,0.003,0.001,0.004,0.031,0.016,0.014,0.37,550,14,7,25.23,1165,1117,874,831,1199,571,474,29.0
0.155,0.24,1.22,0.014,0.005,0.02,0.01,0.03,0.003,0.001,0.004,0.031,0.016,0.014,0.37,557,14,7,23.93,1173,1125,886,848,1207,529,426,29.0
0.156,0.25,1.23,0.013,0.005,0.02,0.01,0.02,0.002,0.002,0.003,0.036,0.015,0.011,0.37,543,12,5,18.83,1158,1111,887,840,1208,508,390,27.5
0.15,0.24,1.24,0.015,0.004,0.02,0.01,0.03,0.003,0.002,0.003,0.032,0.016,0.013,0.37,201,16,11,20.505000000000003,1186,1128,853,829,1202,529,461,26.0
0.15,0.24,1.24,0.015,0.004,0.02,0.01,0.03,0.003,0.002,0.003,0.032,0.016,0.013,0.37,75,16,11,20.505000000000003,1180,1123,846,822,1200,529,467,25.0
0.15,0.24,1.24,0.015,0.004,0.02,0.01,0.03,0.003,0.002,0.003,0.032,0.016,0.013,0.37,141,16,11,20.505000000000003,1187,1129,857,834,1203,566,437,26.0
0.155,0.24,1.22,0.014,0.005,0.02,0.01,0.03,0.003,0.001,0.004,0.031,0.016,0.014,0.37,560,14,7,26.28,1168,1119,866,829,1201,559,473,29.0
0.156,0.26,1.23,0.014,0.007,0.02,0.01,0.02,0.002,0.002,0.003,0.036,0.018,0.014,0.37,555,16,7,15.77,1158,1111,920,837,1191,512,418,28.0
0.156,0.26,1.23,0.014,0.007,0.02,0.01,0.02,0.002,0.002,0.003,0.036,0.018,0.014,0.37,553,16,7,15.77,1164,1117,931,846,1192,515,394,29.0
0.146,0.28,1.26,0.014,0.007,0.02,0.01,0.02,0.002,0.002,0.003,0.028,0.014,0.013,0.36,549,16,7,15.77,1157,1109,920,830,1192,510,417,29.0
0.146,0.28,1.26,0.014,0.007,0.02,0.01,0.02,0.002,0.002,0.003,0.028,0.014,0.013,0.36,542,16,7,15.67,1151,1100,878,798,1191,532,426,27.0
0.146,0.28,1.26,0.014,0.007,0.02,0.01,0.02,0.002,0.002,0.003,0.028,0.014,0.013,0.36,559,16,9,15.57,1150,1093,878,818,1181,521,424,29.0
0.146,0.28,1.26,0.014,0.007,0.02,0.01,0.02,0.002,0.002,0.003,0.028,0.014,0.013,0.36,546,16,7,15.57,1149,1103,924,832,1179,516,419,28.0
0.153,0.27,1.22,0.014,0.006,0.02,0.01,0.02,0.002,0.002,0.003,0.038,0.016,0.013,0.36,561,16,7,15.47,1153,1105,921,835,1182,517,390,29.0
0.151,0.26,1.21,0.012,0.008,0.02,0.01,0.02,0.003,0.001,0.002,0.033,0.015,0.012,0.36,554,16,7,15.07,1156,1109,922,836,1186,523,409,27.5
0.151,0.26,1.21,0.012,0.008,0.02,0.01,0.02,0.003,0.001,0.002,0.033,0.015,0.012,0.36,539,14,7,14.87,1168,1118,913,823,1195,518,394,28.5
0.151,0.26,1.21,0.012,0.008,0.02,0.01,0.02,0.003,0.001,0.002,0.033,0.015,0.012,0.36,562,14,7,14.5,1165,1114,878,818,1188,517,421,28.5
0.151,0.23,1.23,0.013,0.006,0.02,0.01,0.03,0.002,0.002,0.003,0.038,0.018,0.013,0.36,562,16,7,13.97,1160,1112,945,836,1190,513,408,28.0
0.151,0.23,1.23,0.013,0.006,0.02,0.01,0.03,0.002,0.002,0.003,0.038,0.018,0.013,0.36,574,16,7,13.97,1159,1113,941,838,1190,506,386,27.0
0.146,0.24,1.22,0.011,0.009,0.02,0.01,0.02,0.002,0.001,0.002,0.035,0.019,0.013,0.36,546,14,7,13.6,1159,1110,900,817,1195,520,406,27.0
0.145,0.25,1.21,0.013,0.005,0.02,0.01,0.02,0.002,0.001,0.003,0.032,0.016,0.012,0.35,546,14,7,13.6,1177,1127,910,822,1202,530,420,29.0
0.153,0.25,1.24,0.013,0.004,0.02,0.01,0.02,0.003,0.002,0.002,0.032,0.017,0.011,0.37,592,14,7,26.45,1165,1116,866,827,1210,526,412,27.5
0.153,0.25,1.24,0.013,0.004,0.02,0.01,0.02,0.003,0.002,0.002,0.032,0.017,0.011,0.37,588,14,7,26.45,1158,1110,868,824,1203,524,448,29.5
0.153,0.24,1.22,0.011,0.006,0.02,0.01,0.02,0.002,0.001,0.002,0.035,0.02,0.011,0.36,578,14,7,26.95,1152,1105,867,833,1203,543,444,29.0
0.153,0.24,1.22,0.011,0.006,0.02,0.01,0.02,0.002,0.001,0.002,0.035,0.02,0.011,0.36,583,14,7,27.45,1157,1110,867,833,1201,537,455,28.5
0.145,0.25,1.21,0.015,0.004,0.02,0.01,0.02,0.003,0.002,0.002,0.029,0.013,0.011,0.35,569,14,7,27.55,1183,1131,866,833,1198,524,441,27.0
0.145,0.25,1.21,0.015,0.004,0.02,0.01,0.02,0.003,0.002,0.002,0.029,0.013,0.011,0.35,554,14,7,27.55,1171,1121,865,830,1188,516,400,28.5
0.147,0.25,1.23,0.012,0.008,0.02,0.01,0.03,0.004,0.001,0.003,0.035,0.015,0.011,0.36,569,14,7,27.55,1179,1129,868,834,1190,523,420,27.5
0.147,0.25,1.23,0.012,0.008,0.02,0.01,0.03,0.004,0.001,0.003,0.035,0.015,0.011,0.36,555,14,7,28.75,1168,1118,862,828,1192,524,438,26.5
0.147,0.25,1.23,0.012,0.008,0.02,0.01,0.03,0.004,0.001,0.003,0.035,0.015,0.011,0.36,556,14,7,17.55,1151,1101,901,816,1183,512,393,30.0
0.147,0.23,1.24,0.018,0.008,0.02,0.01,0.02,0.002,0.002,0.002,0.03,0.015,0.011,0.36,561,14,7,17.95,1165,1113,905,820,1198,513,412,26.5
0.145,0.23,1.23,0.016,0.003,0.02,0.01,0.03,0.002,0.002,0.003,0.032,0.014,0.011,0.36,556,14,7,17.55,1152,1101,901,813,1186,517,395,25.0
0.145,0.23,1.23,0.016,0.003,0.02,0.01,0.03,0.002,0.002,0.003,0.032,0.014,0.011,0.36,556,14,7,17.55,1168,1115,902,813,1199,517,391,27.0
0.147,0.23,1.24,0.018,0.008,0.02,0.01,0.02,0.002,0.002,0.002,0.03,0.015,0.011,0.36,548,14,7,17.95,1162,1108,896,808,1195,519,389,27.5
0.151,0.25,1.23,0.015,0.004,0.02,0.01,0.02,0.002,0.002,0.002,0.038,0.014,0.011,0.36,544,14,7,18.35,1155,1104,895,815,1191,521,395,26.0
0.158,0.24,1.25,0.013,0.003,0.02,0.01,0.02,0.001,0.002,0.002,0.031,0.017,0.011,0.37,550,14,7,18.35,1157,1104,874,804,1185,527,406,26.0
0.158,0.24,1.25,0.013,0.003,0.02,0.01,0.02,0.001,0.002,0.002,0.031,0.017,0.011,0.37,552,14,7,18.65,1150,1100,877,806,1191,525,428,27.5
0.158,0.24,1.25,0.013,0.003,0.02,0.01,0.02,0.001,0.002,0.002,0.031,0.017,0.011,0.37,547,14,7,18.65,1159,1107,884,808,1188,526,399,29.0
0.149,0.25,1.23,0.015,0.005,0.02,0.01,0.02,0.002,0.001,0.003,0.033,0.016,0.013,0.36,550,14,7,18.65,1151,1099,878,806,1189,518,422,29.5
0.149,0.25,1.23,0.015,0.005,0.02,0.01,0.02,0.002,0.001,0.003,0.033,0.016,0.013,0.36,549,14,7,18.95,1157,1105,881,810,1189,524,400,27.5
0.142,0.24,1.24,0.012,0.008,0.02,0.01,0.03,0.002,0.001,0.003,0.037,0.016,0.011,0.36,72,14,9,18.75,1143,1091,860,785,1177,534,444,29.0
0.142,0.24,1.24,0.012,0.008,0.02,0.01,0.03,0.002,0.001,0.003,0.037,0.016,0.011,0.36,71,14,9,18.65,1148,1095,859,788,1182,531,443,29.5
0.142,0.24,1.24,0.012,0.008,0.02,0.01,0.03,0.002,0.001,0.003,0.037,0.016,0.011,0.36,38,14,9,19.25,1146,1095,876,804,1178,531,450,29.5
0.156,0.23,1.23,0.014,0.007,0.02,0.01,0.02,0.002,0.002,0.002,0.033,0.016,0.011,0.37,316,16,9,26.45,1165,1111,861,798,1176,526,423,26.5
0.137,0.25,1.28,0.011,0.004,0.02,0.01,0.02,0.002,0.001,0.002,0.036,0.015,0.015,0.36,558,18,11,40.35,1171,1114,816,782,1194,553,459,27.0
0.143,0.25,1.23,0.014,0.004,0.02,0.01,0.02,0.002,0.002,0.002,0.037,0.019,0.013,0.35,588,14,7,20.0,1155,1105,885,823,1192,514,397,27.0
0.143,0.25,1.23,0.014,0.004,0.02,0.01,0.02,0.002,0.002,0.002,0.037,0.019,0.013,0.35,580,14,7,19.5,1162,1110,879,821,1192,515,412,27.5
0.154,0.24,1.21,0.015,0.007,0.02,0.01,0.02,0.002,0.002,0.003,0.034,0.013,0.013,0.36,575,14,7,20.0,1175,1122,881,819,1199,524,416,29.5
0.154,0.24,1.21,0.015,0.007,0.02,0.01,0.02,0.002,0.002,0.003,0.034,0.013,0.013,0.36,588,14,7,20.0,1179,1127,887,829,1205,526,417,29.0
0.156,0.25,1.23,0.013,0.005,0.02,0.01,0.02,0.002,0.002,0.003,0.036,0.015,0.011,0.37,59,16,7,17.15,1159,1109,909,812,1192,514,402,28.0
0.151,0.25,1.23,0.015,0.004,0.02,0.01,0.02,0.002,0.002,0.002,0.038,0.014,0.011,0.36,581,14,7,18.15,1175,1119,903,805,1196,534,449,27.0
0.15,0.24,1.25,0.013,0.009,0.02,0.01,0.02,0.001,0.002,0.003,0.039,0.019,0.011,0.36,557,14,7,24.95,1137,1094,878,838,1187,532,420,29.0
0.151,0.25,1.23,0.015,0.004,0.02,0.01,0.02,0.002,0.002,0.003,0.03,0.019,0.011,0.36,562,14,7,25.28,1144,1097,871,830,1192,545,432,27.5
0.153,0.26,1.25,0.015,0.007,0.02,0.01,0.01,0.002,0.001,0.003,0.023,0.016,0.011,0.37,552,14,7,26.83,1163,1112,866,815,1192,548,447,26.5
0.153,0.26,1.25,0.015,0.007,0.02,0.01,0.01,0.002,0.001,0.003,0.023,0.016,0.011,0.37,565,14,7,27.63,1165,1079,854,826,1191,545,464,28.5
0.152,0.26,1.24,0.014,0.006,0.02,0.01,0.02,0.002,0.002,0.003,0.035,0.015,0.011,0.37,557,14,7,17.1,1159,1108,907,820,1182,525,427,28.5
0.148,0.23,1.24,0.012,0.008,0.02,0.01,0.02,0.001,0.001,0.003,0.028,0.014,0.011,0.36,556,14,7,17.9,1165,1113,879,807,1194,522,428,27.5
0.148,0.23,1.24,0.012,0.008,0.02,0.01,0.02,0.001,0.001,0.003,0.028,0.014,0.011,0.36,552,14,7,18.5,1167,1114,888,811,1190,530,421,29.0
0.148,0.23,1.24,0.012,0.008,0.02,0.01,0.02,0.001,0.001,0.003,0.028,0.014,0.011,0.36,534,14,7,20.5,1150,1097,859,799,1189,537,433,26.5
0.153,0.26,1.24,0.013,0.008,0.02,0.01,0.02,0.002,0.001,0.004,0.035,0.016,0.013,0.37,56,18,7,12.05,1176,1127,878,818,1205,505,377,25.5
0.147,0.27,1.24,0.012,0.002,0.02,0.01,0.02,0.002,0.002,0.002,0.03,0.016,0.016,0.38,544,14,7,17.25,1152,1109,904,851,1187,534,409,27.0
0.148,0.27,1.23,0.01,0.004,0.02,0.01,0.02,0.003,0.001,0.004,0.03,0.016,0.013,0.36,570,12,7,14.03,1165,1113,922,813,1198,517,399,26.0
0.148,0.27,1.23,0.01,0.004,0.02,0.01,0.02,0.003,0.001,0.004,0.03,0.016,0.013,0.36,566,12,7,14.03,1175,1121,923,814,1207,526,406,26.0
0.146,0.27,1.23,0.014,0.003,0.02,0.01,0.03,0.002,0.002,0.003,0.033,0.016,0.014,0.36,562,12,7,14.03,1171,1116,917,809,1209,522,421,25.0
0.151,0.27,1.23,0.012,0.006,0.02,0.01,0.03,0.002,0.002,0.003,0.03,0.014,0.013,0.37,555,12,7,14.03,1175,1122,921,813,1208,518,404,28.0
0.151,0.27,1.23,0.012,0.006,0.02,0.01,0.03,0.002,0.002,0.003,0.03,0.014,0.013,0.37,547,12,7,14.03,1187,1132,926,815,1222,523,420,26.0
0.145,0.26,1.24,0.013,0.008,0.02,0.01,0.03,0.002,0.002,0.004,0.032,0.016,0.016,0.36,529,12,7,14.03,1161,1108,907,805,1200,524,422,25.0
0.155,0.24,1.22,0.014,0.005,0.02,0.01,0.03,0.003,0.001,0.004,0.031,0.016,0.014,0.37,553,14,7,26.35,1170,1120,866,832,1199,562,492,28.5
0.156,0.25,1.23,0.013,0.005,0.02,0.01,0.02,0.002,0.002,0.003,0.036,0.015,0.011,0.37,512,14,7,23.25,1161,1114,875,833,1189,563,475,29.0
0.155,0.24,1.22,0.014,0.005,0.02,0.01,0.03,0.003,0.001,0.004,0.031,0.016,0.014,0.37,554,14,7,27.05,1155,1108,873,834,1194,529,426,28.0
0.156,0.25,1.23,0.013,0.005,0.02,0.01,0.02,0.002,0.002,0.003,0.036,0.015,0.011,0.37,525,14,7,22.2,1168,1121,874,836,1200,534,427,29.5
0.15,0.25,1.2,0.014,0.007,0.02,0.01,0.02,0.002,0.001,0.003,0.028,0.014,0.011,0.36,550,14,7,15.4,1169,1117,924,826,1201,499,406,27.5
0.155,0.24,1.22,0.014,0.005,0.02,0.01,0.03,0.003,0.001,0.004,0.031,0.016,0.014,0.37,547,14,7,25.13,1172,1123,878,838,1202,529,505,25.5
0.155,0.24,1.22,0.014,0.005,0.02,0.01,0.03,0.003,0.001,0.004,0.031,0.016,0.014,0.37,287,14,7,24.53,1157,1109,867,827,1197,529,426,26.0
0.15,0.27,1.24,0.01,0.009,0.02,0.01,0.03,0.002,0.001,0.003,0.035,0.021,0.013,0.36,573,14,7,19.88,1154,1105,896,824,1194,526,411,27.5
0.15,0.24,1.24,0.014,0.011,0.02,0.01,0.03,0.002,0.001,0.002,0.021,0.016,0.012,0.36,570,14,7,19.38,1140,1093,898,824,1184,524,403,28.5
0.151,0.26,1.25,0.014,0.007,0.02,0.01,0.03,0.002,0.002,0.003,0.037,0.018,0.014,0.37,564,16,7,16.17,1159,1110,900,819,1193,511,368,27.0
0.15,0.23,1.21,0.013,0.01,0.02,0.01,0.02,0.004,0.002,0.003,0.032,0.015,0.012,0.36,545,14,7,18.68,1140,1092,890,814,1181,504,408,28.0
0.153,0.27,1.22,0.014,0.006,0.02,0.01,0.02,0.002,0.002,0.003,0.038,0.016,0.013,0.36,317,16,7,15.57,1155,1107,931,834,1183,527,401,28.5
0.151,0.26,1.21,0.012,0.008,0.02,0.01,0.02,0.003,0.001,0.002,0.033,0.015,0.012,0.36,569,16,7,13.97,1156,1109,943,838,1190,514,391,29.0
0.153,0.27,1.22,0.014,0.006,0.02,0.01,0.02,0.002,0.002,0.003,0.038,0.016,0.013,0.36,555,16,7,15.57,1153,1106,924,835,1185,515,390,28.0
0.151,0.23,1.23,0.013,0.006,0.02,0.01,0.03,0.002,0.002,0.003,0.038,0.018,0.013,0.36,565,16,7,13.6,1160,1106,941,802,1186,516,398,28.0
0.146,0.24,1.23,0.011,0.009,0.02,0.01,0.02,0.002,0.001,0.002,0.037,0.014,0.011,0.36,545,14,7,13.6,1182,1130,905,821,1205,524,407,30.0
0.149,0.25,1.23,0.015,0.005,0.02,0.01,0.02,0.002,0.001,0.003,0.033,0.016,0.013,0.36,552,14,7,19.05,1161,1109,880,813,1183,521,391,27.0
0.15,0.27,1.22,0.013,0.007,0.02,0.01,0.02,0.003,0.002,0.002,0.037,0.017,0.013,0.36,592,14,7,26.45,1179,1114,868,818,1206,535,425,29.5
0.153,0.28,1.21,0.015,0.006,0.02,0.01,0.02,0.003,0.002,0.002,0.038,0.019,0.011,0.36,576,14,7,26.95,1171,1123,869,834,1203,556,442,29.0
0.153,0.24,1.22,0.011,0.006,0.02,0.01,0.02,0.002,0.001,0.002,0.035,0.02,0.011,0.36,575,14,7,27.55,1179,1129,869,835,1197,525,407,25.5
0.145,0.25,1.21,0.015,0.004,0.02,0.01,0.02,0.003,0.002,0.002,0.029,0.013,0.011,0.35,567,14,7,27.55,1173,1124,867,835,1188,523,414,27.0
0.147,0.25,1.23,0.012,0.008,0.02,0.01,0.03,0.004,0.001,0.003,0.035,0.015,0.011,0.36,561,14,7,28.15,1170,1122,871,838,1191,541,415,26.0
0.147,0.23,1.24,0.018,0.008,0.02,0.01,0.02,0.002,0.002,0.002,0.03,0.015,0.011,0.36,558,14,7,17.95,1155,1105,903,819,1187,516,381,27.0
0.151,0.25,1.23,0.015,0.004,0.02,0.01,0.02,0.002,0.002,0.002,0.038,0.014,0.011,0.36,547,14,7,18.35,1163,1112,899,820,1191,534,403,26.5
0.151,0.28,1.24,0.014,0.007,0.02,0.01,0.03,0.003,0.002,0.003,0.041,0.019,0.013,0.37,549,14,7,42.3,1142,1098,867,843,1168,529,462,27.5
0.154,0.24,1.21,0.015,0.007,0.02,0.01,0.02,0.002,0.002,0.003,0.034,0.013,0.013,0.36,586,14,7,20.0,1170,1117,881,820,1205,522,405,28.5
0.155,0.23,1.24,0.015,0.008,0.02,0.01,0.02,0.001,0.002,0.002,0.04,0.012,0.012,0.37,577,14,7,27.35,1188,1133,871,821,1198,530,420,26.0
0.154,0.24,1.24,0.012,0.005,0.02,0.01,0.02,0.001,0.002,0.003,0.027,0.018,0.012,0.37,374,18,11,41.65,1167,1117,871,820,1195,576,471,29.0
0.15,0.23,1.23,0.014,0.01,0.02,0.01,0.02,0.002,0.001,0.003,0.033,0.018,0.012,0.36,587,14,7,20.6,1160,1107,869,805,1210,527,415,27.0
0.155,0.23,1.24,0.015,0.008,0.02,0.01,0.02,0.001,0.002,0.002,0.04,0.012,0.012,0.37,574,14,7,22.0,1169,1116,869,811,1209,529,420,30.0
0.151,0.23,1.21,0.013,0.007,0.02,0.01,0.02,0.002,0.002,0.002,0.039,0.015,0.012,0.36,584,14,7,21.2,1186,1131,880,817,1207,540,441,28.0
0.152,0.26,1.24,0.014,0.005,0.02,0.01,0.01,0.002,0.002,0.003,0.033,0.016,0.011,0.36,582,14,7,24.73,1172,1122,871,833,1206,536,446,29.0
0.153,0.26,1.25,0.015,0.007,0.02,0.01,0.01,0.002,0.001,0.003,0.023,0.016,0.011,0.37,570,14,7,25.28,1157,1109,874,834,1190,560,487,29.0
0.147,0.24,1.23,0.014,0.009,0.02,0.01,0.02,0.001,0.001,0.003,0.031,0.015,0.011,0.36,568,14,7,28.93,1144,1099,854,833,1188,536,440,28.0
0.152,0.26,1.24,0.014,0.006,0.02,0.01,0.02,0.002,0.002,0.003,0.035,0.015,0.011,0.37,567,14,7,17.1,1160,1108,908,820,1187,517,414,28.5
0.148,0.23,1.24,0.012,0.008,0.02,0.01,0.02,0.001,0.001,0.003,0.028,0.014,0.011,0.36,561,14,7,17.1,1160,1107,880,808,1184,509,413,27.0
0.15,0.24,1.25,0.013,0.009,0.02,0.01,0.02,0.001,0.002,0.003,0.039,0.019,0.011,0.36,570,14,7,25.25,1135,1093,879,842,1179,519,407,30.0
0.153,0.26,1.25,0.015,0.007,0.02,0.01,0.01,0.002,0.001,0.003,0.023,0.016,0.011,0.37,561,14,7,28.23,1155,1108,862,829,1189,514,407,26.0
0.151,0.28,1.24,0.013,0.004,0.02,0.01,0.03,0.002,0.002,0.003,0.031,0.013,0.013,0.37,53,14,9,20.505000000000003,1160,1117,892,862,1182,545,424,25.0
0.146,0.28,1.24,0.013,0.006,0.02,0.01,0.03,0.002,0.002,0.003,0.038,0.012,0.013,0.38,56,16,11,20.505000000000003,1165,1118,880,847,1197,527,410,27.0
0.152,0.24,1.26,0.016,0.006,0.02,0.01,0.02,0.004,0.002,0.002,0.026,0.013,0.012,0.37,132,18,7,12.05,1180,1128,878,865,1211,525,415,26.0
0.152,0.23,1.22,0.012,0.005,0.02,0.01,0.03,0.003,0.002,0.003,0.025,0.014,0.014,0.36,59,18,7,12.05,1184,1134,878,818,1215,523,417,25.5
0.145,0.27,1.23,0.012,0.005,0.02,0.01,0.01,0.001,0.001,0.002,0.042,0.015,0.012,0.36,552,12,7,14.9,1165,1114,886,819,1194,528,385,27.5
0.145,0.27,1.23,0.012,0.005,0.02,0.01,0.01,0.001,0.001,0.002,0.042,0.015,0.012,0.36,549,12,7,16.0,1162,1115,897,835,1196,525,390,28.0
0.145,0.27,1.23,0.012,0.005,0.02,0.01,0.01,0.001,0.001,0.002,0.042,0.015,0.012,0.36,533,12,7,16.0,1169,1119,892,831,1195,523,394,26.0
0.149,0.24,1.27,0.014,0.005,0.02,0.01,0.02,0.001,0.001,0.002,0.034,0.016,0.012,0.37,553,14,9,33.27,1172,1122,867,822,1198,505,408,25.0
0.149,0.24,1.27,0.014,0.005,0.02,0.01,0.02,0.001,0.001,0.002,0.034,0.016,0.012,0.37,552,14,9,32.67,1178,1120,818,787,1205,517,416,27.5
0.149,0.24,1.27,0.014,0.005,0.02,0.01,0.02,0.001,0.001,0.002,0.034,0.016,0.012,0.37,197,14,9,31.27,1176,1123,861,812,1201,536,432,28.0
0.156,0.26,1.24,0.008,0.005,0.02,0.01,0.02,0.002,0.001,0.003,0.039,0.017,0.013,0.37,552,12,7,16.0,1201,1144,900,814,1197,516,423,27.5
0.156,0.26,1.24,0.008,0.005,0.02,0.01,0.02,0.002,0.001,0.003,0.039,0.017,0.013,0.37,556,14,7,15.9,1190,1134,919,822,1197,513,422,26.0
0.152,0.25,1.22,0.013,0.004,0.02,0.01,0.03,0.002,0.002,0.003,0.029,0.015,0.013,0.36,577,12,7,26.35,1127,1083,870,825,1184,554,471,26.0
0.152,0.25,1.22,0.013,0.004,0.02,0.01,0.03,0.002,0.002,0.003,0.029,0.015,0.013,0.36,577,12,7,25.75,1151,1104,867,822,1186,564,489,26.0
