C,Si,Mn,P,S,Cr,Ni,Cu,Mo,V,Sn,Al,Ti,Nb,CEQ,板坯装炉前温度,轧制道次数,精轧道次数,轧制厚度,粗轧开轧温度_测量平均,粗轧终止温度_测量平均,精轧开轧温度_测量平均,精轧终止温度_测量平均,抽出平均温度,TENSION_RM,YIELD_REH,EL
0.163,0.27,1.2,0.014,0.009,0.02,0.01,0.01,0.002,0.002,0.003,0.033,0.014,0.015,0.37,61,16,9,20.505000000000003,1176,1126,861,841,1190,525,390,29.0
0.146,0.26,1.26,0.015,0.008,0.02,0.01,0.01,0.001,0.001,0.002,0.033,0.017,0.013,0.36,606,18,9,15.38,1160,1104,920,777,1183,514,420,28.5
0.144,0.26,1.24,0.01,0.002,0.02,0.01,0.02,0.001,0.001,0.002,0.027,0.016,0.012,0.36,551,18,9,15.38,1142,1091,938,796,1185,515,412,28.5
0.144,0.26,1.24,0.01,0.002,0.02,0.01,0.02,0.001,0.001,0.002,0.027,0.016,0.012,0.36,600,18,9,15.38,1153,1102,935,800,1183,526,399,29.0
0.153,0.29,1.25,0.012,0.004,0.02,0.01,0.01,0.001,0.002,0.002,0.032,0.017,0.013,0.37,629,16,9,29.33,1145,1100,895,834,1192,529,406,27.0
0.155,0.27,1.23,0.019,0.009,0.02,0.01,0.01,0.002,0.002,0.002,0.034,0.015,0.015,0.37,20,14,7,9.67,1204,1146,963,812,1197,537,414,27.5
0.155,0.27,1.23,0.019,0.009,0.02,0.01,0.01,0.002,0.002,0.002,0.034,0.015,0.015,0.37,15,14,7,9.67,1206,1148,956,810,1197,543,459,28.0
0.152,0.31,1.24,0.015,0.005,0.02,0.01,0.01,0.002,0.002,0.003,0.036,0.017,0.012,0.36,47,12,7,7.77,1165,1114,878,807,1197,556,418,30.0
0.162,0.3,1.23,0.01,0.004,0.02,0.01,0.01,0.001,0.001,0.003,0.035,0.016,0.011,0.37,548,12,7,7.77,1165,1114,878,804,1197,552,434,29.0
0.162,0.3,1.23,0.01,0.004,0.02,0.01,0.01,0.001,0.001,0.003,0.035,0.016,0.011,0.37,97,12,7,7.77,1165,1114,878,818,1197,549,414,28.0
0.152,0.31,1.24,0.015,0.005,0.02,0.01,0.01,0.002,0.002,0.003,0.036,0.017,0.012,0.36,25,14,7,11.72,1165,1114,906,812,1197,550,447,26.5
0.15,0.27,1.22,0.018,0.01,0.02,0.01,0.02,0.001,0.002,0.003,0.024,0.018,0.012,0.36,53,14,7,15.0,1154,1102,899,804,1189,561,488,28.5
0.15,0.3,1.22,0.014,0.002,0.02,0.01,0.01,0.002,0.001,0.002,0.029,0.018,0.013,0.36,83,16,9,26.5,1157,1100,841,774,1185,544,429,26.0
0.153,0.26,1.22,0.012,0.004,0.02,0.01,0.02,0.003,0.002,0.002,0.032,0.019,0.014,0.36,56,16,9,30.1,1173,1121,862,817,1186,521,411,25.0
0.15,0.3,1.22,0.014,0.002,0.02,0.01,0.01,0.002,0.001,0.002,0.029,0.018,0.013,0.36,44,16,9,30.15,1154,1103,867,816,1183,537,431,25.5
0.148,0.24,1.25,0.015,0.004,0.02,0.01,0.01,0.001,0.002,0.003,0.027,0.015,0.011,0.36,40,16,9,28.75,1169,1110,858,800,1199,519,435,26.0
0.148,0.29,1.25,0.016,0.005,0.02,0.01,0.02,0.001,0.002,0.003,0.032,0.017,0.012,0.36,35,18,9,25.1,1162,1111,892,817,1193,536,434,27.5
0.148,0.26,1.22,0.014,0.006,0.02,0.01,0.01,0.004,0.002,0.002,0.035,0.017,0.013,0.36,616,14,11,20.505000000000003,1185,1133,880,832,1205,520,392,28.0
0.146,0.27,1.25,0.014,0.002,0.02,0.01,0.01,0.002,0.002,0.002,0.036,0.017,0.012,0.36,599,14,11,20.505000000000003,1183,1132,880,831,1207,528,430,27.0
0.146,0.27,1.25,0.014,0.002,0.02,0.01,0.01,0.002,0.002,0.002,0.036,0.017,0.012,0.36,585,14,11,20.505000000000003,1188,1135,878,831,1198,522,427,26.5
0.152,0.26,1.24,0.012,0.006,0.02,0.01,0.02,0.002,0.002,0.003,0.034,0.016,0.014,0.37,612,14,11,20.505000000000003,1174,1124,879,832,1195,516,411,26.5
